,C0,C0s,C1,C1s,C1_p1,C1_p1s,C1_p2,C1_p2s,C1_p3,C1_p3s,C1_p4,C1_p4s,C1_p5,C1_p5s,C1_p6,C1_p6s,C1_p7,C1_p7s,C1_p8,C1_p8s,C1_p9,C1_p9s,C1_p10,C1_p10s
gene_347,39,M,62.142,M,62.142,M,62.142,M,62.142,M,62.142,M,62.142,M,62.142,M,62.142,M,83.022,H,62.142,M,62.142,M
gene_348,31,M,70.801,MH,70.801,MH,70.801,MH,70.801,MH,70.801,MH,70.801,MH,70.801,MH,70.801,MH,70.801,MH,70.801,MH,70.801,MH
gene_349,30,M,92.539,H,92.539,H,9.601,L,62.855,M,92.539,H,92.539,H,92.539,H,24.188,LM,92.539,H,92.539,H,20.028,LM
gene_350,63,M,20.57,LM,20.57,LM,20.57,LM,20.57,LM,20.57,LM,20.57,LM,60.314,M,20.57,LM,20.57,LM,20.57,LM,20.57,LM
gene_351,43,M,9.109,L,9.109,L,9.109,L,9.109,L,9.109,L,9.109,L,9.109,L,44.535,M,9.109,L,9.109,L,9.109,L
gene_352,36,M,58.437,M,58.437,M,23.164,LM,92.459,H,88.691,H,58.437,M,58.437,M,12.677,L,58.437,M,58.437,M,58.437,M
gene_353,35,M,88.685,H,88.685,H,42.212,M,88.685,H,88.685,H,11.941,L,88.685,H,88.685,H,88.685,H,88.685,H,88.685,H
gene_354,56,M,28.659,LM,28.659,LM,28.659,LM,7.927,L,28.659,LM,28.659,LM,28.659,LM,28.659,LM,28.659,LM,28.659,LM,63.618,M
gene_355,68,M,16.818,L,84.669,H,16.818,L,16.818,L,16.818,L,16.818,L,16.818,L,16.818,L,16.818,L,16.818,L,16.818,L
gene_356,50,M,88.595,H,88.595,H,88.595,H,88.595,H,88.595,H,23.342,LM,88.595,H,88.595,H,88.595,H,88.595,H,88.595,H
gene_357,66,M,85.44,H,85.44,H,27.151,LM,85.44,H,85.44,H,85.44,H,85.44,H,85.44,H,85.44,H,85.44,H,12.397,L
gene_358,50,M,43.409,M,43.409,M,43.409,M,6.609,L,82.847,H,43.409,M,43.409,M,43.409,M,43.409,M,43.409,M,43.409,M
gene_359,52,M,61.32,M,61.32,M,61.32,M,61.32,M,61.32,M,61.32,M,61.32,M,61.32,M,61.32,M,61.32,M,61.32,M
gene_360,57,M,77.42,MH,77.42,MH,26.562,LM,77.42,MH,47.915,M,77.42,MH,2.905,L,41.548,M,77.42,MH,77.42,MH,77.42,MH
gene_361,62,M,23.049,LM,23.049,LM,23.049,LM,23.049,LM,23.049,LM,23.049,LM,23.049,LM,2.586,L,23.049,LM,23.049,LM,64.351,M
gene_362,60,M,21.453,LM,21.453,LM,21.453,LM,16.878,L,21.453,LM,21.453,LM,73.161,MH,21.453,LM,39.59,M,80.371,H,21.453,LM
gene_363,69,M,20.198,LM,80.875,H,20.198,LM,20.198,LM,61.227,M,20.198,LM,20.198,LM,34.082,M,90.63,H,20.198,LM,20.198,LM
gene_364,59,M,6.3,L,73.541,MH,6.3,L,6.3,L,6.3,L,21.701,LM,6.3,L,6.3,L,6.3,L,26.145,LM,65.808,M
gene_365,66,M,68.811,M,68.811,M,68.811,M,68.811,M,78.217,MH,68.811,M,76.334,MH,68.811,M,68.811,M,25.634,LM,68.811,M
gene_366,38,M,23.759,LM,23.759,LM,23.759,LM,52.806,M,70.257,MH,23.759,LM,23.759,LM,56.782,M,23.759,LM,23.759,LM,23.759,LM
gene_367,51,M,1.286,L,1.286,L,1.286,L,20.941,LM,90.905,H,1.286,L,1.286,L,1.286,L,1.286,L,1.286,L,1.286,L
gene_368,53,M,24.686,LM,77.792,MH,24.686,LM,24.686,LM,24.686,LM,24.686,LM,0.855,L,24.686,LM,24.686,LM,24.686,LM,80.812,H
gene_369,63,M,11.138,L,11.138,L,11.138,L,11.138,L,70.407,MH,11.138,L,11.138,L,25.694,LM,11.138,L,11.138,L,11.138,L
gene_370,49,M,24.682,LM,24.682,LM,24.682,LM,24.682,LM,24.682,LM,24.682,LM,24.682,LM,7.736,L,98.565,H,84.595,H,75.993,MH
gene_371,61,M,6.599,L,44.831,M,6.599,L,41.101,M,71.798,MH,6.599,L,6.599,L,6.599,L,6.599,L,6.599,L,82.2,H
gene_372,45,M,26.367,LM,26.367,LM,26.367,LM,40.766,M,26.367,LM,26.367,LM,26.367,LM,26.367,LM,26.367,LM,1.17,L,26.367,LM
gene_373,53,M,13.18,L,13.18,L,73.39,MH,87.236,H,13.18,L,13.18,L,13.18,L,13.18,L,91.303,H,72.505,MH,13.18,L
gene_374,64,M,7.582,L,7.582,L,21.74,LM,7.582,L,99.162,H,7.582,L,7.582,L,24.166,LM,7.582,L,7.582,L,7.582,L
gene_375,61,M,26.708,LM,26.708,LM,26.708,LM,26.708,LM,26.708,LM,26.708,LM,26.708,LM,77.761,MH,26.708,LM,85.108,H,26.708,LM
gene_376,56,M,40.498,M,40.498,M,40.498,M,8.574,L,40.498,M,86.626,H,40.498,M,40.498,M,40.498,M,40.498,M,40.498,M
gene_377,30,M,6.622,L,6.622,L,6.622,L,71.382,MH,6.622,L,6.622,L,6.622,L,6.622,L,97.382,H,6.622,L,6.622,L
gene_378,37,M,16.193,L,16.193,L,77.63,MH,16.193,L,16.193,L,16.193,L,16.193,L,16.193,L,71.815,MH,16.193,L,33.399,M
gene_379,50,M,77.454,MH,77.454,MH,77.454,MH,77.454,MH,77.454,MH,21.648,LM,28.303,LM,77.454,MH,77.454,MH,77.454,MH,77.454,MH
gene_380,40,M,5.26,L,5.26,L,5.26,L,72.364,MH,5.26,L,88.814,H,5.26,L,5.26,L,5.26,L,35.877,M,5.26,L
gene_381,32,M,26.926,LM,26.926,LM,83.057,H,26.926,LM,1.171,L,26.926,LM,26.926,LM,26.926,LM,26.926,LM,26.926,LM,26.926,LM
gene_382,64,M,96.387,H,37.799,M,96.387,H,96.387,H,47.632,M,51.078,M,96.387,H,96.387,H,96.387,H,7.991,L,45.435,M
gene_383,67,M,57.549,M,57.549,M,57.549,M,57.549,M,23.39,LM,57.549,M,75.873,MH,26.859,LM,57.549,M,57.549,M,57.549,M
gene_384,42,M,0.667,L,21.775,LM,0.667,L,0.667,L,90.315,H,0.667,L,77.197,MH,0.667,L,0.667,L,0.667,L,85.011,H
gene_385,46,M,22.632,LM,82.384,H,22.632,LM,22.632,LM,22.632,LM,22.632,LM,13.019,L,22.632,LM,22.632,LM,22.632,LM,22.632,LM
gene_386,62,M,94.237,H,94.237,H,8.124,L,94.237,H,94.237,H,94.237,H,27.141,LM,94.237,H,77.941,MH,94.237,H,94.237,H
gene_387,32,M,9.741,L,9.741,L,47.613,M,73.63,MH,9.741,L,9.741,L,9.741,L,9.741,L,9.741,L,9.741,L,9.741,L
gene_388,55,M,47.514,M,47.514,M,47.514,M,74.89,MH,47.514,M,47.514,M,47.514,M,47.514,M,47.514,M,47.514,M,47.514,M
gene_389,35,M,24.787,LM,52.479,M,24.787,LM,24.787,LM,24.787,LM,24.787,LM,24.787,LM,55.25,M,24.787,LM,24.787,LM,24.787,LM
gene_390,41,M,20.723,LM,20.723,LM,20.723,LM,20.723,LM,20.723,LM,20.723,LM,50.144,M,83.359,H,20.723,LM,20.723,LM,1.019,L
gene_391,63,M,18.937,L,87.652,H,18.937,L,18.937,L,18.937,L,18.937,L,18.937,L,18.937,L,18.937,L,18.937,L,88.641,H
gene_392,32,M,72.169,MH,72.169,MH,72.169,MH,3.163,L,72.169,MH,72.169,MH,72.169,MH,72.169,MH,72.169,MH,38.134,M,28.991,LM
gene_393,31,M,26.289,LM,26.289,LM,66.306,M,26.289,LM,99.38,H,26.289,LM,88.094,H,90.287,H,26.289,LM,61.075,M,26.289,LM
gene_394,46,M,96.71,H,16.292,L,96.71,H,96.71,H,96.71,H,96.71,H,96.71,H,96.71,H,96.71,H,96.71,H,72.933,MH
gene_395,49,M,22.424,LM,22.424,LM,22.424,LM,22.424,LM,22.424,LM,22.424,LM,22.424,LM,45.278,M,22.424,LM,22.424,LM,22.424,LM
gene_396,64,M,12.563,L,12.563,L,12.563,L,12.563,L,12.563,L,12.563,L,12.563,L,12.563,L,12.563,L,12.563,L,12.563,L
gene_397,58,M,51.366,M,51.366,M,51.366,M,27.931,LM,51.366,M,51.366,M,51.366,M,78.712,MH,20.669,LM,51.366,M,51.366,M
gene_398,56,M,0.92,L,0.92,L,0.92,L,0.92,L,0.92,L,0.92,L,0.92,L,0.92,L,40.208,M,0.92,L,0.92,L
gene_399,36,M,16.139,L,16.139,L,16.139,L,16.139,L,16.139,L,77.108,MH,16.139,L,16.139,L,16.139,L,16.139,L,16.139,L
gene_400,69,M,2.66,L,2.66,L,2.66,L,2.66,L,2.66,L,2.66,L,24.444,LM,2.66,L,2.66,L,2.66,L,2.66,L
gene_401,46,M,27.074,LM,27.074,LM,73.941,MH,77.015,MH,27.074,LM,27.074,LM,27.074,LM,17.263,L,27.074,LM,27.074,LM,27.074,LM
gene_402,54,M,25.242,LM,25.242,LM,25.242,LM,25.242,LM,25.242,LM,50.103,M,25.242,LM,16.149,L,25.242,LM,90.448,H,25.242,LM
gene_403,45,M,72.815,MH,72.815,MH,72.815,MH,72.815,MH,72.815,MH,72.815,MH,72.815,MH,24.5,LM,72.815,MH,72.815,MH,72.815,MH
gene_404,31,M,9.3,L,9.3,L,9.3,L,70.624,MH,9.3,L,9.3,L,9.3,L,9.3,L,9.3,L,9.3,L,9.3,L
gene_405,48,M,21.106,LM,21.106,LM,21.106,LM,21.106,LM,21.106,LM,21.106,LM,81.724,H,21.106,LM,21.106,LM,21.106,LM,21.106,LM
gene_406,36,M,50.308,M,50.308,M,50.308,M,50.308,M,50.308,M,50.308,M,50.308,M,50.308,M,50.308,M,86.54,H,96.553,H
gene_407,31,M,77.271,MH,77.271,MH,77.271,MH,77.271,MH,77.271,MH,77.271,MH,22.589,LM,77.271,MH,86.575,H,77.271,MH,77.271,MH
gene_408,54,M,39.301,M,39.301,M,71.864,MH,39.301,M,39.301,M,39.301,M,39.301,M,39.301,M,39.301,M,39.301,M,39.301,M
gene_409,55,M,62.154,M,62.154,M,62.154,M,62.154,M,62.154,M,62.154,M,62.154,M,28.022,LM,62.154,M,28.627,LM,62.154,M
gene_410,34,M,18.246,L,18.246,L,18.246,L,18.246,L,18.246,L,18.246,L,18.246,L,18.246,L,99.657,H,18.246,L,18.246,L
gene_411,51,M,95.078,H,95.078,H,95.078,H,95.078,H,95.078,H,95.078,H,95.078,H,0.505,L,95.078,H,95.078,H,95.078,H
gene_412,43,M,21.121,LM,36.444,M,21.121,LM,99.104,H,21.121,LM,21.121,LM,21.121,LM,73.281,MH,21.121,LM,21.121,LM,3.657,L
gene_413,45,M,72.535,MH,82.276,H,93.896,H,72.535,MH,53.548,M,25.291,LM,72.535,MH,72.535,MH,72.535,MH,72.535,MH,72.535,MH
gene_414,61,M,24.236,LM,24.236,LM,24.236,LM,24.236,LM,96.304,H,72.813,MH,24.236,LM,24.236,LM,24.236,LM,24.236,LM,88.507,H
gene_415,49,M,1.109,L,1.109,L,92.345,H,1.109,L,24.204,LM,1.109,L,73.997,MH,73.358,MH,1.109,L,77.309,MH,1.109,L
gene_416,65,M,16.228,L,16.228,L,16.228,L,16.228,L,73.57,MH,16.228,L,22.246,LM,28.661,LM,16.228,L,16.228,L,16.228,L
gene_417,54,M,39.719,M,39.719,M,39.719,M,22.961,LM,24.471,LM,39.719,M,39.719,M,39.719,M,70.888,MH,39.719,M,39.719,M
gene_418,48,M,72.708,MH,72.708,MH,72.708,MH,72.708,MH,72.708,MH,72.708,MH,72.708,MH,72.708,MH,72.708,MH,83.523,H,72.708,MH
gene_419,55,M,91.034,H,91.034,H,91.034,H,91.034,H,91.034,H,91.034,H,91.034,H,91.034,H,91.034,H,91.034,H,91.034,H
gene_420,43,M,70.245,MH,70.245,MH,70.245,MH,70.245,MH,70.245,MH,70.245,MH,70.245,MH,70.245,MH,70.245,MH,70.245,MH,67.848,M
gene_421,34,M,77.386,MH,77.386,MH,77.386,MH,88.87,H,77.386,MH,4.054,L,22.276,LM,77.386,MH,28.831,LM,77.386,MH,31.775,M
gene_422,57,M,27.952,LM,84.323,H,27.952,LM,27.952,LM,27.952,LM,27.952,LM,27.952,LM,27.952,LM,48.355,M,75.058,MH,27.952,LM
gene_423,54,M,4.624,L,4.624,L,4.624,L,4.624,L,28.136,LM,74.611,MH,4.624,L,4.624,L,4.624,L,78.647,MH,4.624,L
gene_424,61,M,27.93,LM,27.93,LM,27.93,LM,27.93,LM,27.93,LM,27.93,LM,12.618,L,27.93,LM,27.93,LM,27.93,LM,27.93,LM
gene_425,35,M,21.512,LM,21.512,LM,21.512,LM,21.512,LM,21.512,LM,21.512,LM,21.512,LM,33.819,M,53.597,M,14.548,L,13.253,L
gene_426,66,M,78.889,MH,60.197,M,80.463,H,78.889,MH,78.889,MH,78.889,MH,78.889,MH,78.889,MH,78.889,MH,78.889,MH,78.889,MH
gene_427,61,M,63.84,M,63.84,M,63.84,M,74.185,MH,16.222,L,27.591,LM,63.84,M,63.84,M,13.069,L,63.84,M,63.84,M
gene_428,66,M,14.098,L,14.098,L,14.098,L,14.098,L,73.672,MH,14.098,L,14.098,L,14.098,L,26.652,LM,21.108,LM,14.098,L
gene_429,64,M,15.01,L,25.995,LM,15.01,L,21.151,LM,15.01,L,15.01,L,15.01,L,15.01,L,80.768,H,15.01,L,21.562,LM
gene_430,57,M,1.185,L,1.185,L,1.185,L,1.185,L,1.185,L,1.185,L,1.185,L,1.185,L,1.185,L,1.185,L,1.185,L
gene_431,62,M,74.55,MH,74.55,MH,74.55,MH,74.55,MH,14.665,L,74.55,MH,74.55,MH,74.55,MH,74.55,MH,74.55,MH,74.55,MH
gene_432,50,M,74.799,MH,74.799,MH,20.895,LM,74.799,MH,74.799,MH,74.799,MH,80.357,H,74.799,MH,8.637,L,20.608,LM,90.164,H
gene_433,61,M,21.141,LM,21.141,LM,48.589,M,13.266,L,21.141,LM,21.141,LM,21.141,LM,6.962,L,21.141,LM,21.141,LM,89.19,H
gene_434,37,M,80.233,H,13.245,L,80.233,H,80.233,H,80.233,H,80.233,H,80.233,H,73.202,MH,58.677,M,80.233,H,80.233,H
gene_435,61,M,1.553,L,1.553,L,1.553,L,1.553,L,1.553,L,1.553,L,1.553,L,32.845,M,27.513,LM,1.553,L,65.333,M
gene_436,47,M,18.693,L,23.065,LM,18.693,L,18.693,L,18.693,L,21.152,LM,36.95,M,28.909,LM,18.693,L,18.693,L,18.693,L
gene_437,60,M,8.557,L,8.557,L,8.557,L,8.557,L,8.557,L,8.557,L,8.557,L,8.557,L,75.267,MH,8.557,L,8.557,L
gene_438,48,M,73.712,MH,37.333,M,73.712,MH,73.712,MH,73.712,MH,9.241,L,73.712,MH,16.248,L,73.712,MH,73.712,MH,73.712,MH
gene_439,61,M,45.456,M,45.456,M,45.456,M,45.456,M,20.921,LM,6.811,L,45.456,M,45.456,M,45.456,M,45.456,M,45.456,M
gene_440,33,M,16.958,L,16.958,L,16.958,L,78.666,MH,59.799,M,16.958,L,16.958,L,36.456,M,21.335,LM,16.958,L,46.385,M
gene_441,31,M,84.853,H,84.853,H,84.853,H,26.189,LM,50.696,M,84.853,H,84.853,H,72.187,MH,84.853,H,84.853,H,14.53,L
gene_442,67,M,70.408,MH,70.408,MH,70.408,MH,70.408,MH,70.408,MH,70.408,MH,70.408,MH,70.408,MH,70.408,MH,70.408,MH,70.408,MH
gene_443,49,M,9.714,L,9.714,L,21.72,LM,9.714,L,9.714,L,9.714,L,9.714,L,9.714,L,67.891,M,9.714,L,34.66,M
gene_444,66,M,88.925,H,20.242,LM,88.925,H,88.925,H,77.579,MH,88.925,H,88.925,H,88.925,H,68.975,M,88.925,H,88.925,H
gene_445,67,M,27.002,LM,27.002,LM,90.181,H,27.002,LM,27.002,LM,27.002,LM,90.007,H,27.002,LM,27.002,LM,27.002,LM,27.002,LM
gene_446,56,M,2.555,L,88.674,H,2.555,L,2.555,L,2.555,L,2.555,L,25.909,LM,2.555,L,2.555,L,2.555,L,2.555,L
gene_447,52,M,24.587,LM,77.241,MH,24.587,LM,24.587,LM,24.587,LM,82.659,H,24.587,LM,13.884,L,77.129,MH,18.049,L,24.587,LM
gene_448,38,M,82.955,H,82.955,H,59.31,M,78.405,MH,82.955,H,82.955,H,82.955,H,82.955,H,82.955,H,82.955,H,74.331,MH
gene_449,33,M,23.303,LM,23.303,LM,23.303,LM,23.303,LM,23.303,LM,23.303,LM,23.303,LM,23.303,LM,23.303,LM,23.303,LM,23.303,LM
gene_450,62,M,9.533,L,78.714,MH,9.533,L,9.533,L,9.533,L,9.533,L,9.533,L,42.996,M,23.587,LM,9.533,L,9.533,L
gene_451,65,M,2.539,L,2.539,L,2.539,L,2.539,L,2.539,L,75.18,MH,2.539,L,2.539,L,2.539,L,74.943,MH,2.539,L
gene_452,61,M,26.607,LM,26.607,LM,26.607,LM,26.607,LM,26.607,LM,26.607,LM,26.607,LM,26.607,LM,26.607,LM,26.607,LM,45.02,M
gene_453,57,M,3.793,L,3.793,L,71.531,MH,3.793,L,3.793,L,3.793,L,37.382,M,3.793,L,63.62,M,24.776,LM,3.793,L
gene_454,46,M,48.468,M,48.468,M,48.468,M,48.468,M,20.271,LM,48.468,M,48.468,M,48.468,M,12.826,L,48.468,M,48.468,M
gene_455,42,M,24.279,LM,24.279,LM,24.279,LM,24.279,LM,24.279,LM,24.279,LM,24.279,LM,45.19,M,24.279,LM,73.764,MH,24.279,LM
gene_456,34,M,77.278,MH,77.278,MH,89.705,H,77.278,MH,77.278,MH,77.278,MH,77.278,MH,77.278,MH,77.278,MH,77.278,MH,77.278,MH
gene_457,47,M,6.631,L,6.631,L,6.631,L,33.779,M,20.379,LM,6.631,L,6.631,L,6.631,L,6.631,L,6.631,L,6.631,L
gene_458,52,M,23.426,LM,23.426,LM,23.426,LM,23.426,LM,23.426,LM,10.784,L,23.426,LM,11.96,L,23.426,LM,23.426,LM,23.426,LM
gene_459,66,M,26.26,LM,26.26,LM,26.26,LM,26.26,LM,26.26,LM,26.26,LM,95.194,H,26.26,LM,26.26,LM,26.26,LM,96.551,H
gene_460,67,M,26.071,LM,26.071,LM,0.595,L,93.818,H,26.071,LM,63.876,M,26.071,LM,95.463,H,26.071,LM,13.245,L,26.071,LM
gene_461,46,M,16.023,L,16.023,L,16.023,L,16.023,L,16.023,L,80.43,H,16.023,L,16.023,L,16.023,L,16.023,L,16.023,L
gene_462,33,M,71.947,MH,27.641,LM,71.947,MH,71.947,MH,71.947,MH,71.947,MH,71.947,MH,71.947,MH,71.947,MH,71.947,MH,71.947,MH
gene_463,60,M,24.587,LM,24.587,LM,24.587,LM,24.587,LM,24.587,LM,24.587,LM,55.228,M,0.192,L,24.587,LM,24.587,LM,24.587,LM
gene_464,59,M,9.83,L,9.83,L,25.289,LM,9.83,L,9.83,L,9.83,L,9.83,L,9.83,L,24.487,LM,9.83,L,9.83,L
gene_465,31,M,14.774,L,77.207,MH,14.774,L,14.774,L,14.774,L,14.774,L,87.485,H,14.774,L,14.774,L,24.447,LM,14.774,L
gene_466,47,M,27.437,LM,27.437,LM,18.516,L,27.437,LM,27.437,LM,27.437,LM,27.437,LM,27.437,LM,27.437,LM,27.437,LM,27.437,LM
gene_467,57,M,23.075,LM,23.075,LM,23.075,LM,23.075,LM,23.075,LM,23.075,LM,23.075,LM,23.075,LM,70.804,MH,23.075,LM,23.075,LM
gene_468,31,M,24.106,LM,24.106,LM,24.106,LM,24.106,LM,24.106,LM,24.106,LM,0.231,L,57.175,M,24.106,LM,99.607,H,24.106,LM
gene_469,66,M,20.469,LM,20.469,LM,20.469,LM,92.654,H,20.469,LM,20.469,LM,70.309,MH,20.469,LM,20.469,LM,85.605,H,82.905,H
gene_470,68,M,18.396,L,78.879,MH,18.396,L,18.396,L,48.658,M,18.396,L,99.038,H,18.396,L,22.143,LM,18.396,L,73.9,MH
gene_471,58,M,20.619,LM,20.619,LM,20.619,LM,20.619,LM,85.322,H,20.619,LM,20.619,LM,20.619,LM,20.619,LM,20.619,LM,20.619,LM
gene_472,33,M,70.929,MH,70.929,MH,70.929,MH,70.929,MH,70.929,MH,70.929,MH,70.929,MH,70.929,MH,70.929,MH,70.929,MH,70.929,MH
gene_473,32,M,77.145,MH,77.145,MH,77.145,MH,77.145,MH,77.145,MH,77.145,MH,77.145,MH,98.512,H,77.145,MH,17.877,L,77.145,MH
gene_474,44,M,97.472,H,97.472,H,28.24,LM,97.472,H,97.472,H,97.472,H,97.472,H,97.472,H,97.472,H,97.472,H,97.472,H
gene_475,31,M,3.515,L,3.515,L,3.515,L,3.515,L,3.515,L,3.515,L,3.515,L,3.515,L,22.059,LM,23.297,LM,26.371,LM
gene_476,43,M,78.692,MH,78.692,MH,78.692,MH,78.692,MH,78.692,MH,20.032,LM,28.012,LM,78.692,MH,30.491,M,78.692,MH,8.629,L
gene_477,30,M,61.659,M,61.659,M,61.659,M,61.659,M,61.659,M,61.659,M,61.659,M,61.659,M,3.111,L,61.659,M,61.659,M
gene_478,68,M,99.816,H,72.804,MH,99.816,H,99.816,H,99.816,H,67.934,M,71.913,MH,99.816,H,99.816,H,99.816,H,99.816,H
gene_479,62,M,92.151,H,92.151,H,92.151,H,92.151,H,92.151,H,92.151,H,92.151,H,57.17,M,92.151,H,92.151,H,43.029,M
gene_480,32,M,15.794,L,93.799,H,15.794,L,80.444,H,15.794,L,67.163,M,43.071,M,15.794,L,15.794,L,15.794,L,15.794,L
gene_481,65,M,62.061,M,75.341,MH,62.061,M,62.061,M,62.061,M,26.703,LM,62.061,M,62.061,M,12.674,L,62.061,M,77.823,MH
gene_482,38,M,49.492,M,71.016,MH,49.492,M,49.492,M,49.492,M,49.492,M,49.492,M,49.492,M,49.492,M,49.492,M,49.492,M
gene_483,38,M,43.834,M,43.834,M,43.834,M,96.331,H,43.834,M,43.834,M,43.834,M,43.834,M,43.834,M,43.834,M,43.834,M
gene_484,56,M,27.039,LM,27.039,LM,27.039,LM,72.774,MH,27.039,LM,27.039,LM,27.039,LM,27.039,LM,27.039,LM,27.039,LM,27.039,LM
gene_485,67,M,14.593,L,78.477,MH,14.593,L,14.593,L,14.593,L,14.593,L,14.593,L,14.593,L,14.593,L,14.593,L,14.593,L
gene_486,34,M,90.634,H,18.291,L,90.634,H,90.634,H,90.634,H,90.634,H,90.634,H,90.634,H,46.569,M,90.634,H,90.634,H
gene_487,30,M,38.136,M,17.281,L,38.136,M,38.136,M,38.136,M,38.136,M,38.136,M,38.136,M,38.136,M,38.136,M,38.136,M
gene_488,44,M,3.739,L,3.739,L,3.739,L,3.739,L,3.739,L,3.739,L,3.739,L,70.949,MH,3.739,L,3.739,L,3.739,L
gene_489,30,M,71.609,MH,71.609,MH,71.609,MH,71.609,MH,95.047,H,71.609,MH,98.028,H,71.609,MH,71.609,MH,71.609,MH,71.609,MH
gene_490,54,M,25.506,LM,25.506,LM,25.506,LM,25.506,LM,25.506,LM,25.506,LM,25.506,LM,25.506,LM,25.506,LM,25.506,LM,25.506,LM
gene_491,64,M,25.281,LM,25.281,LM,25.281,LM,25.281,LM,25.281,LM,25.281,LM,25.281,LM,25.281,LM,25.281,LM,25.281,LM,25.281,LM
gene_492,37,M,16.363,L,26.981,LM,16.363,L,16.363,L,16.363,L,71.834,MH,16.363,L,16.363,L,16.363,L,16.363,L,20.541,LM
gene_493,34,M,1.029,L,55.42,M,1.029,L,1.029,L,25.9,LM,1.029,L,31.443,M,1.029,L,1.029,L,73.02,MH,1.029,L
gene_494,43,M,0.596,L,0.596,L,0.596,L,0.596,L,91.417,H,0.596,L,0.596,L,0.596,L,0.596,L,99.712,H,0.596,L
gene_495,68,M,28.377,LM,28.377,LM,98.515,H,28.377,LM,28.377,LM,2.432,L,28.377,LM,41.723,M,28.377,LM,9.01,L,28.377,LM
gene_496,35,M,23.774,LM,43.975,M,23.774,LM,23.774,LM,93.473,H,23.774,LM,23.774,LM,23.774,LM,71.108,MH,88.011,H,75.14,MH
gene_497,68,M,65.729,M,65.729,M,70.114,MH,65.729,M,65.729,M,65.729,M,65.729,M,65.729,M,72.482,MH,81.074,H,65.729,M
gene_498,44,M,11.763,L,11.763,L,11.763,L,51.975,M,11.763,L,11.763,L,11.763,L,11.763,L,11.763,L,72.576,MH,11.763,L
gene_499,48,M,6.443,L,53.329,M,6.443,L,66.76,M,6.443,L,6.443,L,6.443,L,6.443,L,67.445,M,86.363,H,6.443,L
gene_500,41,M,99.58,H,67.896,M,99.58,H,22.493,LM,99.58,H,46.373,M,99.58,H,15.816,L,99.58,H,66.631,M,24.645,LM
gene_501,67,M,22.469,LM,22.469,LM,17.765,L,22.469,LM,22.469,LM,22.469,LM,22.469,LM,22.469,LM,22.469,LM,94.3,H,85.018,H
gene_502,68,M,11.57,L,11.57,L,11.57,L,99.909,H,11.57,L,11.57,L,11.57,L,11.57,L,11.57,L,11.57,L,78.66,MH
gene_503,55,M,64.937,M,82.996,H,64.937,M,64.937,M,64.937,M,64.937,M,84.411,H,64.937,M,64.937,M,64.937,M,64.937,M
gene_504,37,M,96.083,H,96.083,H,96.083,H,96.083,H,24.472,LM,96.083,H,96.083,H,96.083,H,96.083,H,23.244,LM,55.202,M
gene_505,69,M,82.153,H,82.153,H,82.153,H,5.063,L,82.153,H,82.153,H,82.153,H,82.153,H,82.153,H,82.153,H,23.504,LM
gene_506,34,M,76.433,MH,76.433,MH,76.433,MH,76.433,MH,76.433,MH,76.433,MH,32.823,M,76.433,MH,76.433,MH,76.433,MH,38.76,M
gene_507,53,M,23.792,LM,23.792,LM,23.792,LM,23.792,LM,70.16,MH,23.792,LM,70.63,MH,23.792,LM,3.661,L,23.792,LM,23.792,LM
gene_508,36,M,98.475,H,28.731,LM,98.475,H,98.475,H,98.475,H,98.475,H,1.497,L,98.475,H,98.475,H,98.475,H,0.46,L
gene_509,65,M,13.039,L,76.15,MH,28.385,LM,13.039,L,13.039,L,13.039,L,21.301,LM,13.039,L,13.039,L,85.372,H,73.309,MH
gene_510,67,M,14.711,L,14.711,L,22.119,LM,14.711,L,74.784,MH,14.711,L,14.711,L,14.711,L,14.711,L,14.711,L,28.332,LM
gene_511,62,M,95.467,H,95.467,H,95.467,H,95.467,H,95.467,H,95.467,H,95.467,H,15.516,L,95.467,H,95.467,H,95.467,H
gene_512,42,M,14.188,L,14.188,L,14.188,L,14.188,L,14.188,L,14.188,L,14.188,L,14.188,L,14.188,L,14.188,L,21.271,LM
gene_513,39,M,26.178,LM,26.178,LM,26.178,LM,26.178,LM,26.178,LM,26.178,LM,26.178,LM,26.178,LM,26.178,LM,26.178,LM,75.841,MH
gene_514,60,M,95.287,H,33.534,M,95.287,H,95.287,H,95.287,H,95.287,H,95.287,H,95.287,H,95.287,H,95.287,H,31.595,M
gene_515,41,M,77.066,MH,98.502,H,77.066,MH,83.909,H,77.066,MH,77.066,MH,22.282,LM,77.066,MH,77.066,MH,77.066,MH,77.066,MH
gene_516,46,M,24.582,LM,24.582,LM,55.312,M,76.184,MH,43.783,M,24.582,LM,24.582,LM,24.582,LM,24.582,LM,24.582,LM,24.582,LM
gene_517,31,M,20.673,LM,20.673,LM,20.673,LM,20.673,LM,0.893,L,20.673,LM,20.673,LM,12.05,L,20.673,LM,20.673,LM,83.681,H
gene_518,35,M,80.296,H,80.296,H,80.296,H,80.296,H,80.296,H,24.275,LM,80.296,H,80.296,H,80.296,H,80.296,H,76.553,MH
gene_519,30,M,2.631,L,2.631,L,2.631,L,2.631,L,2.631,L,2.631,L,39.649,M,22.221,LM,2.631,L,2.631,L,2.631,L
gene_520,33,M,87.701,H,87.701,H,87.701,H,87.701,H,34.261,M,87.701,H,87.701,H,87.701,H,87.701,H,87.701,H,87.701,H
